item_code,item_name,item_group,brand,stock_uom,hsn_code,valuation_rate,standard_rate,description
SWISSW-BOTTLE02,Bottle 02 Swissw,Plastic kitchenware,Raj Enterprises,BOX,3911,0,0,Bottle 02 Swissw
SET-BOTTLE03SP,Bottle 03 Sparkle (3Pcs Set),Plastic kitchenware,Raj Enterprises,BOX,3924,0,143.7,Bottle 03 Sparkle (3Pcs Set)
PACKING-BOTTLE1100,Bottle 1100ml (Box Packing),Plastic kitchenware,Raj Enterprises,BOX,3924,0,108.6,Bottle 1100ml (Box Packing)
2808002000ML-BOTTLE3PCS,Bottle 3pcs Set (280-800-2000ml),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle 3pcs Set (280-800-2000ml)
800ML-BOTTLEBABY,Bottle Baby Doll 800ml,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle Baby Doll 800ml
COBRA-BOTTLE,bottle cobra,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,bottle cobra
CONCAVE-BOTTLE,bottle concave,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,bottle concave
NEK-BOTTLEDUBA,Bottle DUBAI 1200ml (Nek),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle DUBAI 1200ml (Nek)
FORSTI-BOTTLE,BOTTLE FORSTI,Plastic kitchenware,Raj Enterprises,PCS,3924,0,34.84,BOTTLE FORSTI
BOTTLE-BOTTLEGLAS,bottle glass & bottle,Plastic kitchenware,Raj Enterprises,PCS,7013,0,0,bottle glass & bottle
B-BOTTLEGROU,Bottle Ground (3pcs Set) [B],Plastic kitchenware,Raj Enterprises,BOX,3924,0,161.11,Bottle Ground (3pcs Set) [B]
H2O-BOTTLE,Bottle H2O,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle H2O
1200ML-BOTTLEKOHI,Bottle Kohinoor 1200ml,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle Kohinoor 1200ml
BOX-BOTTLELINE,Bottle Line Diamond Cap Bottle 1000ml (3pcs Box),Plastic kitchenware,Raj Enterprises,BOX,3924,0,130.62,Bottle Line Diamond Cap Bottle 1000ml (3pcs Box)
NEK-BOTTLENEXO,Bottle Nexon 1200ml (Nek),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle Nexon 1200ml (Nek)
NEK-BOTTLENEXO-002,Bottle Nexon 2400ml (Nek),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle Nexon 2400ml (Nek)
NEK-BOTTLEPARI,Bottle PARIS 1500ml (Nek),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle PARIS 1500ml (Nek)
2200ML-BOTTLEPARI,Bottle PARIS 2200ml,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle PARIS 2200ml
900ML-BOTTLESSSI,Bottle S.S. Sipper Cap Multi Utility - 900ML,Plastic kitchenware,Raj Enterprises,PCS,3924,0,140.4,Bottle S.S. Sipper Cap Multi Utility - 900ML
700ML-BOTTLESLIM,Bottle Slim Campas 700ml,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle Slim Campas 700ml
500ML-BOTTLESLIM,Bottle Slim Flip Top 500ml,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle Slim Flip Top 500ml
PREMIUM-BOTTLESS,BOTTLE SS PREMIUM,Plastic kitchenware,Raj Enterprises,PCS,3924,0,152.39,BOTTLE SS PREMIUM
STEEL-BOTTLESTAI,BOTTLE STAINLESS STEEL,Plastic kitchenware,Raj Enterprises,PCS,3924,0,123.37,BOTTLE STAINLESS STEEL
NEK-BOTTLETOKY,Bottle TOKYO 1000ml (Nek),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Bottle TOKYO 1000ml (Nek)
BLACK-BREADCUTTE,BREAD CUTTER REGULAR BLACK,Plastic kitchenware,Raj Enterprises,DZ,3924,0,0,BREAD CUTTER REGULAR BLACK
SPECIAL-BREADKNIFE,Bread Knife Special,Plastic kitchenware,Raj Enterprises,PCS,3924,0,53.7,Bread Knife Special
PLAIN-CAKEKNIFE,Cake Knife Plain,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Cake Knife Plain
MUG-CAMERALENS,CAMERA LENS COFFEE MUG,Plastic kitchenware,Raj Enterprises,PCS,3924,0,142.59,CAMERA LENS COFFEE MUG
BOX-CANDY,CANDY BOX,Plastic kitchenware,Raj Enterprises,PCS,3924,0,83,CANDY BOX
TRAY-CELEBRATIO,CELEBRATION TRAY,Plastic kitchenware,Raj Enterprises,PCS,3924,0,246.5,CELEBRATION TRAY
LIGHTER-CELTRON,CELTRON LIGHTER,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,CELTRON LIGHTER
D034-CHEESEANDV,Cheese And Vegetable Grater - D034,Plastic kitchenware,Raj Enterprises,PCS,7323,0,0,Cheese And Vegetable Grater - D034
SS-CHEESEGRAT,Cheese Grater SS,Plastic kitchenware,Raj Enterprises,PCS,3924,0,7.25,Cheese Grater SS
310G-CHILLYCUTT,Chilly Cutter S.S. Heavy 310g,Plastic kitchenware,Raj Enterprises,PCS,3924,0,130.62,Chilly Cutter S.S. Heavy 310g
HEAVY-CHOPPEREAS,Chopper Easy 700ml Heavy,Plastic kitchenware,Raj Enterprises,PCS,3924,0,94.35,Chopper Easy 700ml Heavy
LARGE-CHOPPINGBO,CHOPPING BOARD COLOR LARGE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,99.25,CHOPPING BOARD COLOR LARGE
MEDIUM-CHOPPINGBO,CHOPPING BOARD COLOR MEDIUM,Plastic kitchenware,Raj Enterprises,PCS,3924,0,81,CHOPPING BOARD COLOR MEDIUM
SMALL-CHOPPINGBO,CHOPPING BOARD COLOR SMALL,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,CHOPPING BOARD COLOR SMALL
15MM-CHOPPINGBO,Chopping Board LARGE Plastic 15mm,Plastic kitchenware,Raj Enterprises,PCS,3924,0,413.65,Chopping Board LARGE Plastic 15mm
670GM-CHOPPINGBO,Chopping Board S.S. No.2(10×14 Inch 670gm),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Chopping Board S.S. No.2(10×14 Inch 670gm)
950GM-CHOPPINGBO,Chopping Board S.S. No.3(16.5×11.5×1 Inch 950gm),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Chopping Board S.S. No.3(16.5×11.5×1 Inch 950gm)
LARGE-CHOPPINGBO-002,Chopping Board WHITE LARGE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,148.04,Chopping Board WHITE LARGE
MEDIUM-CHOPPINGBO-002,chopping board white Medium,Plastic kitchenware,Raj Enterprises,BOX,3924,0,0,chopping board white Medium
BIG-CHOPPINGBO,chopping board wooden big,Plastic kitchenware,Raj Enterprises,PCS,3911,0,0,chopping board wooden big
MID-CHOPPINGBO,Chopping board wooden mid,Plastic kitchenware,Raj Enterprises,PCS,3911,0,0,Chopping board wooden mid
GLASS-CLEAR,CLEAR GLASS,Plastic kitchenware,Raj Enterprises,PCS,3924,0,92.88,CLEAR GLASS
BIG-COCONUTOPE,COCONUT OPENER BIG,Plastic kitchenware,Raj Enterprises,PCS,3924,0,32,COCONUT OPENER BIG
MINI-COCONUTOPE,COCONUT OPENER MINI,Plastic kitchenware,Raj Enterprises,PCS,3924,0,30,COCONUT OPENER MINI
MUG-COFFEE,coffee mug,Plastic kitchenware,Raj Enterprises,Pack,3924,0,66.93,coffee mug
ML-CONTAINERF,Container Feel Fresh 1200 Ml,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Container Feel Fresh 1200 Ml
BOTTLE-COOLANDCOO,COOL AND COOL BOTTLE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,108.7,COOL AND COOL BOTTLE
SS-CORNCUTTER,Corn Cutter S.S.,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Corn Cutter S.S.
BOX-CRESTADRYF,CRESTA DRY FRUIT BOX,Plastic kitchenware,Raj Enterprises,PCS,3924,0,116.5,CRESTA DRY FRUIT BOX
SET-CRYSTALDIA,Crystal Diamond Bottle 06 (3pcs Set),Plastic kitchenware,Raj Enterprises,PCS,3924,0,145.5,Crystal Diamond Bottle 06 (3pcs Set)
8-DCCUTEKNIF,"D.C Cute Knife 8""",Plastic kitchenware,Raj Enterprises,PCS,3924,0,26.12,"D.C Cute Knife 8"""
9-DCCUTEKNIF,"D.C Cute Knife 9""",Plastic kitchenware,Raj Enterprises,PCS,3924,0,30.5,"D.C Cute Knife 9"""
SET-DC3PCSKNIF,D.C. 3pcs Knife Set,Plastic kitchenware,Raj Enterprises,PCS,3924,0,68.2,D.C. 3pcs Knife Set
HEAD-DEER,DEER HEAD,Plastic kitchenware,Raj Enterprises,PCS,3924,0,30,DEER HEAD
STAINER-DELUXETEA,DELUXE TEA STAINER,Plastic kitchenware,Raj Enterprises,PCS,3924,0,42,DELUXE TEA STAINER
CONTAINER-DIAMOND,DIAMOND CONTAINER,Plastic kitchenware,Raj Enterprises,PCS,3924,0,90,DIAMOND CONTAINER
LOOSE-DILLIGHTER,DIL LIGHTER LOOSE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,DIL LIGHTER LOOSE
BIG-DISHRACK,Dish Rack big,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Dish Rack big
MEDIUM-DISHRACK,Dish Rack Medium,Plastic kitchenware,Raj Enterprises,PCS,7013,0,0,Dish Rack Medium
SMALL-DISHRACKST,Dish Rack Steel Small,Plastic kitchenware,Raj Enterprises,PCS,7013,0,0,Dish Rack Steel Small
127-DOORGUARD,DOOR GUARD (127),Plastic kitchenware,Raj Enterprises,PCS,3924,0,17.46,DOOR GUARD (127)
BOX-DRYFRUIT,DRY FRUIT BOX,Plastic kitchenware,Raj Enterprises,Pack,3924,0,58.5,DRY FRUIT BOX
CUTTER-DRYFRUIT,DRY FRUIT CUTTER,Plastic kitchenware,Raj Enterprises,PCS,3924,0,47,DRY FRUIT CUTTER
SLICER-DRYFRUIT,DRY FRUIT SLICER,Plastic kitchenware,Raj Enterprises,Pack,3924,0,0,DRY FRUIT SLICER
BOX-DUBBLEDECK,DUBBLE DECKER LUNCH BOX,Plastic kitchenware,Raj Enterprises,PCS,3924,0,114,DUBBLE DECKER LUNCH BOX
1616-DUSTERCLEA,Duster Cleaning Kitchen/ Floor 16*16,Plastic kitchenware,Raj Enterprises,PCS,3924,0,50.79,Duster Cleaning Kitchen/ Floor 16*16
DOZEN-DUSTPANPLA,Dustpan Plastic BIG Size (paan) 1 Dozen,Plastic kitchenware,Raj Enterprises,DZ,3924,0,177.08,Dustpan Plastic BIG Size (paan) 1 Dozen
KNIFE-EXCELLENTP,Excellent Peeling Knife,Plastic kitchenware,Raj Enterprises,PCS,3924,0,101.65,Excellent Peeling Knife
PEELER-EXCELLENTP,Excellent Peeling Peeler,Plastic kitchenware,Raj Enterprises,DZ,3924,0,101.6,Excellent Peeling Peeler
LIGHTER-EXPRESS,EXPRESS LIGHTER,Plastic kitchenware,Raj Enterprises,PCS,3924,0,37.83,EXPRESS LIGHTER
PLAIN-FIGHTERKNI,FIGHTER KNIFE (PLAIN),Plastic kitchenware,Raj Enterprises,DZ,3924,0,0,FIGHTER KNIFE (PLAIN)
LIGHTER-FIGO,FIGO LIGHTER,Plastic kitchenware,Raj Enterprises,PCS,3924,0,82.73,FIGO LIGHTER
12INCH-FOLDINGSTO,FOLDING STOOL 12INCH,Plastic kitchenware,Raj Enterprises,PCS,3924,0,195,FOLDING STOOL 12INCH
TROLLEY-GAS,GAS TROLLEY,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,GAS TROLLEY
HEAVY-GASTROLLYS,GAS TROLLY STEEL HEAVY,Plastic kitchenware,Raj Enterprises,PCS,7323,0,0,GAS TROLLY STEEL HEAVY
REGULAR-GASTROLLYS,GAS TROLLY STEEL REGULAR,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,GAS TROLLY STEEL REGULAR
LOTUS-GLASSSTAND,Glass Stand Lotus,Plastic kitchenware,Raj Enterprises,PCS,7323,0,0,Glass Stand Lotus
GLASS-GLASSSTAND,Glass Stand with Glass,Plastic kitchenware,Raj Enterprises,PCS,7013,0,0,Glass Stand with Glass
MAKER-GUJIYA,GUJIYA MAKER,Plastic kitchenware,Raj Enterprises,PCS,3924,0,61,GUJIYA MAKER
1500ML-GYMSHAKERB,Gym Shaker Bottle 1500ml,Plastic kitchenware,Raj Enterprises,PCS,3924,0,82.74,Gym Shaker Bottle 1500ml
700ML-GYMSHAKERB,Gym Shaker Bottle With Ball 700ml,Plastic kitchenware,Raj Enterprises,PCS,3924,0,55.16,Gym Shaker Bottle With Ball 700ml
MUG-HAPPYTIME,HAPPY TIME MUG,Plastic kitchenware,Raj Enterprises,PCS,3924,0,116.12,HAPPY TIME MUG
KNIFE-HEAVYLIGHT,HEAVY LIGHTER WITH KNIFE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,34.8,HEAVY LIGHTER WITH KNIFE
ROUND-HOTMATBIG,Hot Mat Big Round,Plastic kitchenware,Raj Enterprises,PCS,3911,0,0,Hot Mat Big Round
ROUND-HOTMATMID,Hot Mat mid Round,Plastic kitchenware,Raj Enterprises,PCS,3911,0,0,Hot Mat mid Round
SET-ICECANDYMA,Ice Candy Maker [6pcs Set],Plastic kitchenware,Raj Enterprises,PCS,3924,0,68.7,Ice Candy Maker [6pcs Set]
ROUND-ICECANDY,Ice Candy Round,Plastic kitchenware,Raj Enterprises,PCS,3924,0,53.7,Ice Candy Round
SQUARE-ICETRAYSIL,Ice Tray Silicone SQUARE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Ice Tray Silicone SQUARE
ORANGE-JUICER,JUICER ORANGE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,JUICER ORANGE
SQUARE-JUICERSSJA,Juicer S.S. Jali Heavy [Square],Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Juicer S.S. Jali Heavy [Square]
ROUND-JUICERSSJA,Juicer S.S. Jali Round,Plastic kitchenware,Raj Enterprises,BOX,3924,0,0,Juicer S.S. Jali Round
GLASS-JUICY,JUICY GLASS,Plastic kitchenware,Raj Enterprises,PCS,3924,0,92.88,JUICY GLASS
BLENDER-JUMBO,Jumbo Blender,Plastic kitchenware,Raj Enterprises,Pack,3924,0,0,Jumbo Blender
STAND-JUMBOKEY,JUMBO KEY STAND,Plastic kitchenware,Raj Enterprises,PCS,3924,0,91.3,JUMBO KEY STAND
HOUSE-KEY,KEY HOUSE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,92.88,KEY HOUSE
LAZAR-KNIFEAPPLE,Knife Apple Lazar,Plastic kitchenware,Raj Enterprises,PCS,3924,0,30.47,Knife Apple Lazar
PLAIN-KNIFEAPPLE,Knife Apple Plain,Plastic kitchenware,Raj Enterprises,PCS,3924,0,30.5,Knife Apple Plain
BIG-KNIFECHEF,Knife Chef Big,Plastic kitchenware,Raj Enterprises,PCS,3924,0,140.7,Knife Chef Big
INCH-KNIFEHEAVY,Knife HEAVY 10 Inch,Plastic kitchenware,Raj Enterprises,BOX,3924,0,0,Knife HEAVY 10 Inch
INCH-KNIFEHEAVY-002,Knife HEAVY 12 Inch,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Knife HEAVY 12 Inch
PCS-KNIFEWOODE,Knife Wooden Handle (12 pcs),Plastic kitchenware,Raj Enterprises,DZ,3924,0,50.79,Knife Wooden Handle (12 pcs)
KNIFE21-KNIFE21,Knife-21,Plastic kitchenware,Raj Enterprises,DZ,3924,0,161.5,Knife-21
KNIFE786-KNIFE786,Knife-786,Plastic kitchenware,Raj Enterprises,DZ,3924,0,100.2,Knife-786
PACK-KULFIMAKER,Kulfi Maker [Box Pack],Plastic kitchenware,Raj Enterprises,PCS,3924,0,59.51,Kulfi Maker [Box Pack]
MASHER-LSHAPE,L Shape Masher,Plastic kitchenware,Raj Enterprises,PCS,3924,0,71.11,L Shape Masher
BLACK-LEMONSQUEE,LEMON SQUEEZER ALMUNIUM BLACK,Plastic kitchenware,Raj Enterprises,PCS,3924,0,130.6,LEMON SQUEEZER ALMUNIUM BLACK
SILVER-LEMONSQUEE,LEMON SQUEEZER ALUMINIUM SILVER,Plastic kitchenware,Raj Enterprises,PCS,3924,0,130.62,LEMON SQUEEZER ALUMINIUM SILVER
W-LEMONSQUEE,Lemon Squeezer Aluminum (W),Plastic kitchenware,Raj Enterprises,PCS,3924,0,111.75,Lemon Squeezer Aluminum (W)
VATKI-LEMONSQUEE,Lemon Squeezer Plastic S.S. vatki,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Lemon Squeezer Plastic S.S. vatki
HEAVY-LEMONSQUEE,Lemon Squeezer SS Heavy,Plastic kitchenware,Raj Enterprises,PCS,7323,0,87.08,Lemon Squeezer SS Heavy
GRIP-LIGHTER12A,Lighter 12 Aani / 1 Feet plastic grip,Plastic kitchenware,Raj Enterprises,PCS,3924,0,52.26,Lighter 12 Aani / 1 Feet plastic grip
PACK-LIGHTERBLA,Lighter Black EAGLE 12mm (Box pack),Plastic kitchenware,Raj Enterprises,PCS,3924,0,38.29,Lighter Black EAGLE 12mm (Box pack)
SS-LIGHTER,Lighter S.S,Plastic kitchenware,Raj Enterprises,PCS,3924,0,34.84,Lighter S.S
COMPARTMENTS-LUNCHBOX3,Lunch Box 3 Compartments,Plastic kitchenware,Raj Enterprises,PCS,3924,0,442,Lunch Box 3 Compartments
CLASSIC-LUNCHBOX,LUNCH BOX CLASSIc,Plastic kitchenware,Raj Enterprises,PCS,3924,0,68,LUNCH BOX CLASSIc
POLYPACK-LUNCHBOXDE,Lunch Box Delicious (Polypack),Plastic kitchenware,Raj Enterprises,PCS,3924,0,81.6,Lunch Box Delicious (Polypack)
PACK-LUNCHBOXDI,Lunch Box Divine(Plain) (Box Pack),Plastic kitchenware,Raj Enterprises,PCS,3924,0,62.4,Lunch Box Divine(Plain) (Box Pack)
EASY-LUNCHBOX,LUNCH BOX EASY,Plastic kitchenware,Raj Enterprises,PCS,3924,0,42.09,LUNCH BOX EASY
FROGGY-LUNCHBOX,Lunch Box Froggy,Plastic kitchenware,Raj Enterprises,PCS,3924,0,116.12,Lunch Box Froggy
HEALTHY-LUNCHBOXKI,Lunch Box Kids Healthy,Plastic kitchenware,Raj Enterprises,PCS,3924,0,100.4,Lunch Box Kids Healthy
PACK-LUNCHBOXKI,Lunch Box Kids Printed(Box Pack),Plastic kitchenware,Raj Enterprises,PCS,3924,0,65.3,Lunch Box Kids Printed(Box Pack)
TRASNPARENT-LUNCHBOXLO,LUNCH BOX LOCK & LOCK TRASNPARENT,Plastic kitchenware,Raj Enterprises,PCS,3924,0,65.3,LUNCH BOX LOCK & LOCK TRASNPARENT
LOCKET-LUNCHBOX,Lunch Box Locket,Plastic kitchenware,Raj Enterprises,PCS,3924,0,58.4,Lunch Box Locket
LOCKETBEST-LUNCHBOXPR,Lunch Box Printed With locket(Best),Plastic kitchenware,Raj Enterprises,PCS,3924,0,63.8,Lunch Box Printed With locket(Best)
HV-LUNCHBOXSS,Lunch Box S.S. 2 Compartment (H.V.),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Lunch Box S.S. 2 Compartment (H.V.)
ROYAL-LUNCHBOXSS,Lunch Box S.S. Dabi (Royal),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Lunch Box S.S. Dabi (Royal)
PREXO-LUNCHBOXSS,Lunch Box S.S. Flipto  (Prexo),Plastic kitchenware,Raj Enterprises,PCS,3924,0,420,Lunch Box S.S. Flipto  (Prexo)
DABI-LUNCHBOXSS,Lunch Box S.S. Plastic Dabi,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Lunch Box S.S. Plastic Dabi
BIG-LUNCHBOXSS,Lunch Box S.S. Square (big),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Lunch Box S.S. Square (big)
PACK-LUNCHBOXSQ,Lunch Box Square 2 Deck  Printed Locket (Poly Pack),Plastic kitchenware,Raj Enterprises,PCS,3924,0,75.4,Lunch Box Square 2 Deck  Printed Locket (Poly Pack)
SS-LUNCHBOXST,Lunch Box Steelo S.S.,Plastic kitchenware,Raj Enterprises,PCS,7323,0,0,Lunch Box Steelo S.S.
SS-LUNCHBOXTE,Lunch Box Tengo Big S.S.,Plastic kitchenware,Raj Enterprises,PCS,7323,0,0,Lunch Box Tengo Big S.S.
TOKYO-LUNCHBOX,LUNCH BOX TOKYO,Plastic kitchenware,Raj Enterprises,PCS,3924,0,111.3,LUNCH BOX TOKYO
BOX-LUNCHEXKID,LUNCHEX Kids Lunch Box,Plastic kitchenware,Raj Enterprises,PCS,3924,0,79.83,LUNCHEX Kids Lunch Box
BOX-MAGICMASAL,MAGIC MASALA BOX,Plastic kitchenware,Raj Enterprises,Pack,3924,0,66.94,MAGIC MASALA BOX
ATLANTIC-MASALADRYF,MASALA & DRYFRUIT Atlantic,Plastic kitchenware,Raj Enterprises,PCS,3924,0,84.18,MASALA & DRYFRUIT Atlantic
REVOLVING-MASALABOX3,Masala Box 360 Revolving,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Masala Box 360 Revolving
SP-MASALABOXC,Masala Box Color 7 CupWith Spoons (S.P.),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Masala Box Color 7 CupWith Spoons (S.P.)
KING-MASALABOX,Masala Box King,Plastic kitchenware,Raj Enterprises,PCS,3924,0,65.31,Masala Box King
FIRST-MASALABOXS,MASALA BOX SEQ. FIRST,Plastic kitchenware,Raj Enterprises,DZ,3924,0,333.4,MASALA BOX SEQ. FIRST
MINI-MASALABOXS,MASALA BOX SEQ. mini,Plastic kitchenware,Raj Enterprises,DZ,3924,0,139.34,MASALA BOX SEQ. mini
SHAGUN-MASALABOX,Masala Box SHAGUN,Plastic kitchenware,Raj Enterprises,PCS,3924,0,126.27,Masala Box SHAGUN
KING-MASALABOXS,Masala Box Super King,Plastic kitchenware,Raj Enterprises,PCS,3924,0,79.83,Masala Box Super King
JK-MASHERPOLY,Masher Polygon (J.K),Plastic kitchenware,Raj Enterprises,PCS,3924,0,162.56,Masher Polygon (J.K)
JK-MASHERROUN,Masher Round Shape S.S. (J.K),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Masher Round Shape S.S. (J.K)
HANDLE-MASHERSS,Masher S.S Handle,Plastic kitchenware,Raj Enterprises,PCS,3924,0,91.43,Masher S.S Handle
SS-MASHER,MASHER S.S.,Plastic kitchenware,Raj Enterprises,PCS,3924,0,79.83,MASHER S.S.
HEAVY-MASHERSSUL,Masher S.S. Ultra HEAVY,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Masher S.S. Ultra HEAVY
HANDLE-MASHERWOOD,Masher Wooden Handle,Plastic kitchenware,Raj Enterprises,PCS,3924,0,63.86,Masher Wooden Handle
STAND-MATKA,MATKA STAND,Plastic kitchenware,Raj Enterprises,PCS,3924,0,26.12,MATKA STAND
POT-MATKASTAND,Matka Stand [Pot],Plastic kitchenware,Raj Enterprises,PCS,3924,0,53.71,Matka Stand [Pot]
PREMIUM-MATKASTAND,MATKA STAND STEEL PREMIUM,Plastic kitchenware,Raj Enterprises,PCS,7323,0,0,MATKA STAND STEEL PREMIUM
BIG-MATKASTAND,Matka Stand Steel Round Big,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Matka Stand Steel Round Big
SMALL-MATKASTAND,Matka Stand Steel Round Small,Plastic kitchenware,Raj Enterprises,PCS,7323,0,0,Matka Stand Steel Round Small
